"","seqnames","start","end","width","strand","score","pct_cons","peak","feature","feature.ranges.start","feature.ranges.end","feature.ranges.width","feature.strand","distance","insideFeature","distanceToSite","symbol","genename"
"window_61996","chr1",154987500,154997500,10001,"*",159,63.0952380952381,"window_61996","55891",154993586,154994315,730,"+",0,"includeFeature",0,"LENEP","lens epithelial protein"
"window_62363","chr1",155905000,155915000,10001,"*",159,63.0952380952381,"window_62363","6016",155897808,155911404,13597,"-",0,"overlapStart",0,"RIT1","Ras like without CAAX 1"
"window_62377","chr1",155940000,155950000,10001,"*",159,63.0952380952381,"window_62377","339403",155941710,155942949,1240,"+",0,"includeFeature",0,"RXFP4","relaxin family peptide/INSL5 receptor 4"
"window_62510","chr1",156272500,156282500,10001,"*",159,63.0952380952381,"window_62510","84283",156282935,156293185,10251,"+",434,"upstream",434,"TMEM79","transmembrane protein 79"
"window_64084","chr1",160207500,160217500,10001,"*",159,63.0952380952381,"window_64084","8682",160205337,160215376,10040,"+",0,"overlapEnd",2162,"PEA15","proliferation and apoptosis adaptor protein 15"
"window_64084.1","chr1",160207500,160217500,10001,"*",159,63.0952380952381,"window_64084","729867",160202199,160208869,6671,"-",0,"overlapStart",0,"LOC729867","uncharacterized LOC729867"
"window_66737","chr1",166840000,166850000,10001,"*",159,63.0952380952381,"window_66737","57645",166839447,166856344,16898,"+",0,"inside",552,"POGK","pogo transposable element derived with KRAB domain"
"window_68212","chr1",170527500,170537500,10001,"*",159,63.0952380952381,"window_68212","92344",170532129,170553446,21318,"+",0,"overlapStart",0,"GORAB","golgin, RAB6 interacting"
"window_68212.1","chr1",170527500,170537500,10001,"*",159,63.0952380952381,"window_68212","101928650",170460453,170532647,72195,"-",0,"overlapStart",0,"GORAB-AS1","GORAB antisense RNA 1"
"window_68213","chr1",170530000,170540000,10001,"*",159,63.0952380952381,"window_68213","92344",170532129,170553446,21318,"+",0,"overlapStart",0,"GORAB","golgin, RAB6 interacting"
"window_68213.1","chr1",170530000,170540000,10001,"*",159,63.0952380952381,"window_68213","101928650",170460453,170532647,72195,"-",0,"overlapStart",0,"GORAB-AS1","GORAB antisense RNA 1"
"window_109216","chr2",24080000,24090000,10001,"*",159,63.0952380952381,"window_109216","9540",24077433,24085215,7783,"-",0,"overlapStart",0,"TP53I3","tumor protein p53 inducible protein 3"
"window_110467","chr2",27207500,27217500,10001,"*",159,63.0952380952381,"window_110467","51374",27212027,27217178,5152,"+",0,"includeFeature",0,"ATRAID","all-trans retinoic acid induced differentiation factor"
"window_110467.1","chr2",27207500,27217500,10001,"*",159,63.0952380952381,"window_110467","8884",27199587,27212958,13372,"-",0,"overlapStart",0,"SLC5A6","solute carrier family 5 member 6"
"window_110467.2","chr2",27207500,27217500,10001,"*",159,63.0952380952381,"window_110467","790",27217369,27243943,26575,"+",0,"overlapStart",0,"CAD","carbamoyl-phosphate synthetase 2, aspartate transcarbamylase, and dihydroorotase"
"window_118348","chr2",46910000,46920000,10001,"*",159,63.0952380952381,"window_118348","57217",46916157,47076137,159981,"+",0,"overlapStart",0,"TTC7A","tetratricopeptide repeat domain 7A"
"window_126883","chr2",68247500,68257500,10001,"*",159,63.0952380952381,"window_126883","5534",68178857,68256237,77381,"-",0,"overlapStart",0,"PPP3R1","protein phosphatase 3 regulatory subunit B, alpha"
"window_128811","chr2",73067500,73077500,10001,"*",159,63.0952380952381,"window_128811","94097",72942036,73075619,133584,"-",0,"overlapStart",0,"SFXN5","sideroflexin 5"
"window_129353","chr2",74422500,74432500,10001,"*",159,63.0952380952381,"window_129353","388963",74393836,74421662,27827,"-",837,"upstream",837,"C2orf81","chromosome 2 open reading frame 81"
"window_129353.1","chr2",74422500,74432500,10001,"*",159,63.0952380952381,"window_129353","84058",74421678,74425755,4078,"+",0,"overlapEnd",821,"WDR54","WD repeat domain 54"
"window_129378","chr2",74485000,74495000,10001,"*",159,63.0952380952381,"window_129378","64427",74483073,74494886,11814,"+",0,"overlapEnd",1926,"TTC31","tetratricopeptide repeat domain 31"
"window_129378.1","chr2",74485000,74495000,10001,"*",159,63.0952380952381,"window_129378","84865",74471986,74483408,11423,"-",1591,"upstream",1591,"CCDC142","coiled-coil domain containing 142"
"window_129385","chr2",74502500,74512500,10001,"*",159,63.0952380952381,"window_129385","151534",74502595,74504678,2084,"+",0,"includeFeature",0,"LBX2-AS1","LBX2 antisense RNA 1"
"window_129385.1","chr2",74502500,74512500,10001,"*",159,63.0952380952381,"window_129385","85474",74497517,74503316,5800,"-",0,"overlapStart",0,"LBX2","ladybird homeobox 2"
"window_129385.2","chr2",74502500,74512500,10001,"*",159,63.0952380952381,"window_129385","84759",74505043,74507695,2653,"-",0,"includeFeature",0,"PCGF1","polycomb group ring finger 1"
"window_129385.3","chr2",74502500,74512500,10001,"*",159,63.0952380952381,"window_129385","3196",74513463,74517148,3686,"+",962,"upstream",962,"TLX2","T cell leukemia homeobox 2"
"window_129392","chr2",74520000,74530000,10001,"*",159,63.0952380952381,"window_129392","165545",74518131,74526281,8151,"-",0,"overlapStart",0,"DQX1","DEAQ-box RNA dependent ATPase 1"
"window_129392.1","chr2",74520000,74530000,10001,"*",159,63.0952380952381,"window_129392","27429",74529377,74533348,3972,"+",0,"overlapStart",0,"HTRA2","HtrA serine peptidase 2"
"window_129392.2","chr2",74520000,74530000,10001,"*",159,63.0952380952381,"window_129392","550",74526645,74529760,3116,"-",0,"includeFeature",0,"AUP1","AUP1 lipid droplet regulating VLDL assembly factor"
"window_134157","chr2",86432500,86442500,10001,"*",159,63.0952380952381,"window_134157","55818",86440647,86492716,52070,"+",0,"overlapStart",0,"KDM3A","lysine demethylase 3A"
"window_138648","chr2",97660000,97670000,10001,"*",159,63.0952380952381,"window_138648","10120",97655939,97664044,8106,"-",0,"overlapStart",0,"ACTR1B","actin related protein 1B"
"window_138648.1","chr2",97660000,97670000,10001,"*",159,63.0952380952381,"window_138648","728537",97664217,97703064,38848,"+",0,"overlapStart",0,"C2orf92","chromosome 2 open reading frame 92"
"window_163467","chr2",159707500,159717500,10001,"*",159,63.0952380952381,"window_163467","29994",159318979,159712435,393457,"-",0,"overlapStart",0,"BAZ2B","bromodomain adjacent to zinc finger domain 2B"
"window_163467.1","chr2",159707500,159717500,10001,"*",159,63.0952380952381,"window_163467","64844",159712457,159771027,58571,"+",0,"overlapStart",0,"MARCHF7","membrane associated ring-CH-type finger 7"
"window_163468","chr2",159710000,159720000,10001,"*",159,63.0952380952381,"window_163468","29994",159318979,159712435,393457,"-",0,"overlapStart",0,"BAZ2B","bromodomain adjacent to zinc finger domain 2B"
"window_163468.1","chr2",159710000,159720000,10001,"*",159,63.0952380952381,"window_163468","64844",159712457,159771027,58571,"+",0,"overlapStart",0,"MARCHF7","membrane associated ring-CH-type finger 7"
"window_200396","chr3",9835000,9845000,10001,"*",159,63.0952380952381,"window_200396","285367",9837849,9844602,6754,"-",0,"includeFeature",0,"RPUSD3","RNA pseudouridine synthase D3"
"window_202485","chr3",15057500,15067500,10001,"*",159,63.0952380952381,"window_202485","64432",15042460,15065317,22858,"-",0,"overlapStart",0,"MRPS25","mitochondrial ribosomal protein S25"
"window_202486","chr3",15060000,15070000,10001,"*",159,63.0952380952381,"window_202486","64432",15042460,15065317,22858,"-",0,"overlapStart",0,"MRPS25","mitochondrial ribosomal protein S25"
"window_213521","chr3",42647500,42657500,10001,"*",159,63.0952380952381,"window_213521","92999",42653697,42667580,13884,"+",0,"overlapStart",0,"ZBTB47","zinc finger and BTB domain containing 47"
"window_213521.1","chr3",42647500,42657500,10001,"*",159,63.0952380952381,"window_213521","101928323",42601963,42654388,52426,"-",0,"overlapStart",0,"LOC101928323","uncharacterized LOC101928323"
"window_215845","chr3",48457500,48467500,10001,"*",159,63.0952380952381,"window_215845","11277",48465946,48467645,1700,"+",0,"overlapStart",0,"TREX1","three prime repair exonuclease 1"
"window_215846","chr3",48460000,48470000,10001,"*",159,63.0952380952381,"window_215846","11277",48465946,48467645,1700,"+",0,"includeFeature",0,"TREX1","three prime repair exonuclease 1"
"window_216172","chr3",49275000,49285000,10001,"*",159,63.0952380952381,"window_216172","375341",49268596,49277232,8637,"-",0,"overlapStart",0,"C3orf62","chromosome 3 open reading frame 62"
"window_216601","chr3",50347500,50357500,10001,"*",159,63.0952380952381,"window_216601","51364",50341110,50345732,4623,"-",1767,"upstream",1767,"ZMYND10","zinc finger MYND-type containing 10"
"window_216601.1","chr3",50347500,50357500,10001,"*",159,63.0952380952381,"window_216601","11068",50350695,50368197,17503,"+",0,"overlapStart",0,"CYB561D2","cytochrome b561 family member D2"
"window_216601.2","chr3",50347500,50357500,10001,"*",159,63.0952380952381,"window_216601","10641",50347330,50350826,3497,"-",0,"overlapStart",0,"NPRL2","NPR2 like, GATOR1 complex subunit"
"window_216601.3","chr3",50347500,50357500,10001,"*",159,63.0952380952381,"window_216601","11070",50354750,50359521,4772,"-",0,"overlapEnd",2020,"TMEM115","transmembrane protein 115"
"window_217533","chr3",52677500,52687500,10001,"*",159,63.0952380952381,"window_217533","26354",52681156,52694497,13342,"+",0,"overlapStart",0,"GNL3","G protein nucleolar 3"
"window_217533.1","chr3",52677500,52687500,10001,"*",159,63.0952380952381,"window_217533","55193",52545352,52685917,140566,"-",0,"overlapStart",0,"PBRM1","polybromo 1"
"window_217533.2","chr3",52677500,52687500,10001,"*",159,63.0952380952381,"window_217533","106633805",52688882,52688962,81,"+",1381,"upstream",1381,"SNORD136","small nucleolar RNA, C/D box 136"
"window_217533.3","chr3",52677500,52687500,10001,"*",159,63.0952380952381,"window_217533","692089",52689248,52689315,68,"+",1747,"upstream",1747,"SNORD19","small nucleolar RNA, C/D box 19"
"window_247531","chr3",127672500,127682500,10001,"*",159,63.0952380952381,"window_247531","80325",127672935,127680926,7992,"+",0,"includeFeature",0,"ABTB1","ankyrin repeat and BTB domain containing 1"
"window_270132","chr3",184175000,184185000,10001,"*",159,63.0952380952381,"window_270132","1173",184174689,184184091,9403,"+",0,"overlapEnd",310,"AP2M1","adaptor related protein complex 2 subunit mu 1"
"window_270132.1","chr3",184175000,184185000,10001,"*",159,63.0952380952381,"window_270132","55324",184186023,184194012,7990,"+",1022,"upstream",1022,"ABCF3","ATP binding cassette subfamily F member 3"
"window_270202","chr3",184350000,184360000,10001,"*",159,63.0952380952381,"window_270202","1181",184346185,184361650,15466,"-",0,"inside",1649,"CLCN2","chloride voltage-gated channel 2"
"window_270202.1","chr3",184350000,184360000,10001,"*",159,63.0952380952381,"window_270202","5437",184361718,184368596,6879,"+",1717,"upstream",1717,"POLR2H","RNA polymerase II, I and III subunit H"
"window_276465","chr4",1710000,1720000,10001,"*",159,63.0952380952381,"window_276465","7884",1692731,1712344,19614,"-",0,"overlapStart",0,"SLBP","stem-loop binding protein"
"window_276465.1","chr4",1710000,1720000,10001,"*",159,63.0952380952381,"window_276465","10460",1712891,1745176,32286,"+",0,"overlapStart",0,"TACC3","transforming acidic coiled-coil containing protein 3"
"window_276465.2","chr4",1710000,1720000,10001,"*",159,63.0952380952381,"window_276465","92305",1715952,1721358,5407,"-",0,"overlapEnd",1357,"TMEM129","transmembrane protein 129, E3 ubiquitin ligase"
"window_276526","chr4",1862500,1872500,10001,"*",159,63.0952380952381,"window_276526","7468",1871393,1982207,110815,"+",0,"overlapStart",0,"NSD2","nuclear receptor binding SET domain protein 2"
"window_276956","chr4",2937500,2947500,10001,"*",159,63.0952380952381,"window_276956","10227",2930561,2934834,4274,"-",2665,"upstream",2665,"MFSD10","major facilitator superfamily domain containing 10"
"window_276956.1","chr4",2937500,2947500,10001,"*",159,63.0952380952381,"window_276956","317648",2934882,2961738,26857,"+",0,"inside",2617,"NOP14-AS1","NOP14 antisense RNA 1"
"window_297938","chr4",55392500,55402500,10001,"*",159,63.0952380952381,"window_297938","100506462",55363971,55395842,31872,"-",0,"overlapStart",0,"SRD5A3-AS1","SRD5A3 antisense RNA 1"
"window_297938.1","chr4",55392500,55402500,10001,"*",159,63.0952380952381,"window_297938","55858",55395957,55453397,57441,"+",0,"overlapStart",0,"TMEM165","transmembrane protein 165"
"window_304055","chr4",70685000,70695000,10001,"*",159,63.0952380952381,"window_304055","57050",70688532,70690551,2020,"+",0,"includeFeature",0,"UTP3","UTP3 small subunit processome component"
"window_336794","chr4",152532500,152542500,10001,"*",159,63.0952380952381,"window_336794","55294",152320544,152536092,215549,"-",0,"overlapStart",0,"FBXW7","F-box and WD repeat domain containing 7"
"window_336794.1","chr4",152532500,152542500,10001,"*",159,63.0952380952381,"window_336794","54553",152536264,152539263,3000,"+",0,"includeFeature",0,"MIR4453HG","MIR4453 host gene"
"window_336794.2","chr4",152532500,152542500,10001,"*",159,63.0952380952381,"window_336794","100616193",152536428,152536516,89,"+",0,"includeFeature",0,"MIR4453","microRNA 4453"
"window_336795","chr4",152535000,152545000,10001,"*",159,63.0952380952381,"window_336795","55294",152320544,152536092,215549,"-",0,"overlapStart",0,"FBXW7","F-box and WD repeat domain containing 7"
"window_336795.1","chr4",152535000,152545000,10001,"*",159,63.0952380952381,"window_336795","54553",152536264,152539263,3000,"+",0,"includeFeature",0,"MIR4453HG","MIR4453 host gene"
"window_336795.2","chr4",152535000,152545000,10001,"*",159,63.0952380952381,"window_336795","100616193",152536428,152536516,89,"+",0,"includeFeature",0,"MIR4453","microRNA 4453"
"window_380708","chr5",72102500,72112500,10001,"*",159,63.0952380952381,"window_380708","4131",72107234,72209565,102332,"+",0,"overlapStart",0,"MAP1B","microtubule associated protein 1B"
"window_405452","chr5",133962500,133972500,10001,"*",159,63.0952380952381,"window_405452","56951",133955510,133968674,13165,"-",0,"overlapStart",0,"C5orf15","chromosome 5 open reading frame 15"
"window_405466","chr5",133997500,134007500,10001,"*",159,63.0952380952381,"window_405466","7416",133971871,134004975,33105,"-",0,"overlapStart",0,"VDAC1","voltage dependent anion channel 1"
"window_405674","chr5",134517500,134527500,10001,"*",159,63.0952380952381,"window_405674","23338",134524312,134583230,58919,"+",0,"overlapStart",0,"JADE2","jade family PHD finger 2"
"window_408124","chr5",140642500,140652500,10001,"*",159,63.0952380952381,"window_408124","3550",140647058,140662480,15423,"+",0,"overlapStart",0,"IK","IK cytokine"
"window_408124.1","chr5",140642500,140652500,10001,"*",159,63.0952380952381,"window_408124","4695",140638740,140647785,9046,"-",0,"overlapStart",0,"NDUFA2","NADH:ubiquinone oxidoreductase subunit A2"
"window_408124.2","chr5",140642500,140652500,10001,"*",159,63.0952380952381,"window_408124","100500820",140647844,140647926,83,"+",0,"includeFeature",0,"MIR3655","microRNA 3655"
"window_412061","chr5",150485000,150495000,10001,"*",159,63.0952380952381,"window_412061","3340",150485818,150558211,72394,"+",0,"overlapStart",0,"NDST1","N-deacetylase and N-sulfotransferase 1"
"window_412061.1","chr5",150485000,150495000,10001,"*",159,63.0952380952381,"window_412061","102546298",150475531,150485968,10438,"-",0,"overlapStart",0,"NDST1-AS1","NDST1 antisense RNA 1"
"window_422484","chr5",176542500,176552500,10001,"*",159,63.0952380952381,"window_422484","54825",176542511,176595974,53464,"+",0,"overlapStart",0,"CDHR2","cadherin related family member 2"
"window_424063","chr5",180490000,180500000,10001,"*",159,63.0952380952381,"window_424063","57472",180494379,180578358,83980,"+",0,"overlapStart",0,"CNOT6","CCR4-NOT transcription complex subunit 6"
"window_427324","chr6",7102500,7112500,10001,"*",159,63.0952380952381,"window_427324","6239",7107597,7251980,144384,"+",0,"overlapStart",0,"RREB1","ras responsive element binding protein 1"
"window_441689","chr6",43015000,43025000,10001,"*",159,63.0952380952381,"window_441689","116138",43014103,43021298,7196,"+",0,"overlapEnd",896,"KLHDC3","kelch domain containing 3"
"window_441689.1","chr6",43015000,43025000,10001,"*",159,63.0952380952381,"window_441689","4201",43011143,43016868,5726,"-",0,"overlapStart",0,"MEA1","male-enhanced antigen 1"
"window_441689.2","chr6",43015000,43025000,10001,"*",159,63.0952380952381,"window_441689","88745",43021623,43033971,12349,"+",0,"overlapStart",0,"RRP36","ribosomal RNA processing 36"
"window_441691","chr6",43020000,43030000,10001,"*",159,63.0952380952381,"window_441691","88745",43021623,43033971,12349,"+",0,"overlapStart",0,"RRP36","ribosomal RNA processing 36"
"window_441771","chr6",43220000,43230000,10001,"*",159,63.0952380952381,"window_441771","10591",43225629,43229484,3856,"-",0,"includeFeature",0,"DNPH1","2'-deoxynucleoside 5'-phosphate N-hydrolase 1"
"window_441774","chr6",43227500,43237500,10001,"*",159,63.0952380952381,"window_441774","10591",43225629,43229484,3856,"-",0,"overlapStart",0,"DNPH1","2'-deoxynucleoside 5'-phosphate N-hydrolase 1"
"window_442201","chr6",44295000,44305000,10001,"*",159,63.0952380952381,"window_442201","202500",44278734,44297698,18965,"-",0,"overlapStart",0,"TCTE1","t-complex-associated-testis-expressed 1"
"window_477609","chr6",132815000,132825000,10001,"*",159,63.0952380952381,"window_477609","116843",132769370,132813339,43970,"-",1660,"upstream",1660,"SLC18B1","solute carrier family 18 member B1"
"window_477609.1","chr6",132815000,132825000,10001,"*",159,63.0952380952381,"window_477609","6206",132814569,132817564,2996,"+",0,"overlapEnd",430,"RPS12","ribosomal protein S12"
"window_477609.2","chr6",132815000,132825000,10001,"*",159,63.0952380952381,"window_477609","594837",132815307,132815379,73,"+",0,"includeFeature",0,"SNORD101","small nucleolar RNA, C/D box 101"
"window_477609.3","chr6",132815000,132825000,10001,"*",159,63.0952380952381,"window_477609","594838",132816802,132816877,76,"+",0,"includeFeature",0,"SNORD100","small nucleolar RNA, C/D box 100"
"window_477609.4","chr6",132815000,132825000,10001,"*",159,63.0952380952381,"window_477609","594839",132817219,132817348,130,"+",0,"includeFeature",0,"SNORA33","small nucleolar RNA, H/ACA box 33"
"window_481658","chr6",142937500,142947500,10001,"*",159,63.0952380952381,"window_481658","3097",142751469,142946365,194897,"-",0,"overlapStart",0,"HIVEP2","HIVEP zinc finger 2"
"window_486374","chr6",154727500,154737500,10001,"*",159,63.0952380952381,"window_486374","22828",154733325,154834244,100920,"+",0,"overlapStart",0,"SCAF8","SR-related CTD associated factor 8"
"window_486375","chr6",154730000,154740000,10001,"*",159,63.0952380952381,"window_486375","22828",154733325,154834244,100920,"+",0,"overlapStart",0,"SCAF8","SR-related CTD associated factor 8"
"window_488374","chr6",159727500,159737500,10001,"*",159,63.0952380952381,"window_488374","9589",159725585,159756319,30735,"+",0,"inside",1914,"WTAP","WT1 associated protein"
"window_488384","chr6",159752500,159762500,10001,"*",159,63.0952380952381,"window_488384","39",159762045,159779112,17068,"+",0,"overlapStart",0,"ACAT2","acetyl-CoA acetyltransferase 2"
"window_488384.1","chr6",159752500,159762500,10001,"*",159,63.0952380952381,"window_488384","6648",159669069,159762529,93461,"-",0,"inside",28,"SOD2","superoxide dismutase 2"
"window_488384.2","chr6",159752500,159762500,10001,"*",159,63.0952380952381,"window_488384","100129518",159760258,159762332,2075,"-",0,"includeFeature",0,"SOD2-OT1","SOD2 overlapping transcript 1"
"window_491016","chr6",166332500,166342500,10001,"*",159,63.0952380952381,"window_491016","113402",166319728,166342576,22849,"-",0,"inside",75,"SFT2D1","SFT2 domain containing 1"
"window_491016.1","chr6",166332500,166342500,10001,"*",159,63.0952380952381,"window_491016","100289495",166342632,166351466,8835,"+",131,"upstream",131,"LOC100289495","uncharacterized LOC100289495"
"window_491017","chr6",166335000,166345000,10001,"*",159,63.0952380952381,"window_491017","113402",166319728,166342576,22849,"-",0,"overlapStart",0,"SFT2D1","SFT2 domain containing 1"
"window_491017.1","chr6",166335000,166345000,10001,"*",159,63.0952380952381,"window_491017","100289495",166342632,166351466,8835,"+",0,"overlapStart",0,"LOC100289495","uncharacterized LOC100289495"
"window_491018","chr6",166337500,166347500,10001,"*",159,63.0952380952381,"window_491018","113402",166319728,166342576,22849,"-",0,"overlapStart",0,"SFT2D1","SFT2 domain containing 1"
"window_491018.1","chr6",166337500,166347500,10001,"*",159,63.0952380952381,"window_491018","100289495",166342632,166351466,8835,"+",0,"overlapStart",0,"LOC100289495","uncharacterized LOC100289495"
"window_510703","chr7",44742500,44752500,10001,"*",159,63.0952380952381,"window_510703","83637",44748581,44769881,21301,"+",0,"overlapStart",0,"ZMIZ2","zinc finger MIZ-type containing 2"
"window_510796","chr7",44975000,44985000,10001,"*",159,63.0952380952381,"window_510796","64005",44962662,44979088,16427,"-",0,"overlapStart",0,"MYO1G","myosin IG"
"window_510796.1","chr7",44975000,44985000,10001,"*",159,63.0952380952381,"window_510796","285958",44983023,44986961,3939,"-",0,"overlapEnd",1960,"SNHG15","small nucleolar RNA host gene 15"
"window_522472","chr7",74165000,74175000,10001,"*",159,63.0952380952381,"window_522472","7458",74174245,74197101,22857,"+",0,"overlapStart",0,"EIF4H","eukaryotic translation initiation factor 4H"
"window_533134","chr7",100820000,100830000,10001,"*",159,63.0952380952381,"window_533134","56996",100826820,100867010,40191,"+",0,"overlapStart",0,"SLC12A9","solute carrier family 12 member 9"
"window_533134.1","chr7",100820000,100830000,10001,"*",159,63.0952380952381,"window_533134","2050",100802565,100827523,24959,"-",0,"overlapStart",0,"EPHB4","EPH receptor B4"
"window_533136","chr7",100825000,100835000,10001,"*",159,63.0952380952381,"window_533136","56996",100826820,100867010,40191,"+",0,"overlapStart",0,"SLC12A9","solute carrier family 12 member 9"
"window_533136.1","chr7",100825000,100835000,10001,"*",159,63.0952380952381,"window_533136","2050",100802565,100827523,24959,"-",0,"overlapStart",0,"EPHB4","EPH receptor B4"
"window_533238","chr7",101080000,101090000,10001,"*",159,63.0952380952381,"window_533238","81844",101085481,101097967,12487,"+",0,"overlapStart",0,"TRIM56","tripartite motif containing 56"
"window_533763","chr7",102392500,102402500,10001,"*",159,63.0952380952381,"window_533763","79706",102396363,102426666,30304,"+",0,"overlapStart",0,"PRKRIP1","PRKR interacting protein 1"
"window_533790","chr7",102460000,102470000,10001,"*",159,63.0952380952381,"window_533790","54784",102456238,102464863,8626,"-",0,"overlapStart",0,"ALKBH4","alkB homolog 4, lysine demethylase"
"window_533790.1","chr7",102460000,102470000,10001,"*",159,63.0952380952381,"window_533790","222229",102464956,102473168,8213,"+",0,"overlapStart",0,"LRWD1","leucine rich repeats and WD repeat domain containing 1"
"window_533790.2","chr7",102460000,102470000,10001,"*",159,63.0952380952381,"window_533790","100847073",102465742,102465826,85,"+",0,"includeFeature",0,"MIR5090","microRNA 5090"
"window_533790.3","chr7",102460000,102470000,10001,"*",159,63.0952380952381,"window_533790","100616367",102471469,102471531,63,"+",1468,"upstream",1468,"MIR4467","microRNA 4467"
"window_577777","chrX",53080000,53090000,10001,"*",159,63.0952380952381,"window_577777","64061",53082367,53088540,6174,"+",0,"includeFeature",0,"TSPYL2","TSPY like 2"
"window_634172","chr8",38025000,38035000,10001,"*",159,63.0952380952381,"window_634172","1978",38030534,38060365,29832,"+",0,"overlapStart",0,"EIF4EBP1","eukaryotic translation initiation factor 4E binding protein 1"
"window_634312","chr8",38375000,38385000,10001,"*",159,63.0952380952381,"window_634312","54904",38269704,38382272,112569,"-",0,"overlapStart",0,"NSD3","nuclear receptor binding SET domain protein 3"
"window_634312.1","chr8",38375000,38385000,10001,"*",159,63.0952380952381,"window_634312","137994",38386207,38409527,23321,"+",1206,"upstream",1206,"LETM2","leucine zipper and EF-hand containing transmembrane protein 2"
"window_634314","chr8",38380000,38390000,10001,"*",159,63.0952380952381,"window_634314","54904",38269704,38382272,112569,"-",0,"overlapStart",0,"NSD3","nuclear receptor binding SET domain protein 3"
"window_634314.1","chr8",38380000,38390000,10001,"*",159,63.0952380952381,"window_634314","137994",38386207,38409527,23321,"+",0,"overlapStart",0,"LETM2","leucine zipper and EF-hand containing transmembrane protein 2"
"window_638056","chr8",47735000,47745000,10001,"*",159,63.0952380952381,"window_638056","1052",47736913,47738164,1252,"-",0,"includeFeature",0,"CEBPD","CCAAT enhancer binding protein delta"
"window_648277","chr8",73287500,73297500,10001,"*",159,63.0952380952381,"window_648277","157506",73294602,73325281,30680,"+",0,"overlapStart",0,"RDH10","retinol dehydrogenase 10"
"window_648277.1","chr8",73287500,73297500,10001,"*",159,63.0952380952381,"window_648277","6129",73290242,73295789,5548,"-",0,"includeFeature",0,"RPL7","ribosomal protein L7"
"window_670080","chr8",127795000,127805000,10001,"*",159,63.0952380952381,"window_670080","5820",127794526,128187101,392576,"+",0,"inside",473,"PVT1","Pvt1 oncogene"
"window_670080.1","chr8",127795000,127805000,10001,"*",159,63.0952380952381,"window_670080","100302185",127795962,127796028,67,"+",0,"includeFeature",0,"MIR1204","microRNA 1204"
"window_676274","chr8",143280000,143290000,10001,"*",159,63.0952380952381,"window_676274","100507316",143280161,143281690,1530,"-",0,"includeFeature",0,"MINCR","MYC-induced long non-coding RNA"
