"","seqnames","start","end","width","strand","score","pct_cons","peak","feature","feature.ranges.start","feature.ranges.end","feature.ranges.width","feature.strand","distance","insideFeature","distanceToSite","symbol","genename"
"window_500689.1","chr7",19707500,19717500,10001,"*",69,27.3809523809524,"window_500689","221830",19695461,19709037,13577,"-",0,"overlapStart",0,"POLR1F","RNA polymerase I subunit F"
"window_501944","chr7",22845000,22855000,10001,"*",69,27.3809523809524,"window_501944","109729180",22854126,22872945,18820,"+",0,"overlapStart",0,"SNHG26","small nucleolar RNA host gene 26"
"window_501944.1","chr7",22845000,22855000,10001,"*",69,27.3809523809524,"window_501944","692210",22856613,22856686,74,"+",1612,"upstream",1612,"SNORD93","small nucleolar RNA, C/D box 93"
"window_504663","chr7",29642500,29652500,10001,"*",69,27.3809523809524,"window_504663","442524",29650227,29742594,92368,"+",0,"overlapStart",0,"DPY19L2P3","DPY19L2 pseudogene 3"
"window_504921","chr7",30287500,30297500,10001,"*",69,27.3809523809524,"window_504921","223082",30284597,30412502,127906,"+",0,"inside",2902,"ZNRF2","zinc and ring finger 2"
"window_504921.1","chr7",30287500,30297500,10001,"*",69,27.3809523809524,"window_504921","693133",30289794,30289890,97,"+",0,"includeFeature",0,"MIR550A1","microRNA 550a-1"
"window_504921.2","chr7",30287500,30297500,10001,"*",69,27.3809523809524,"window_504921","100500883",30289794,30289890,97,"-",0,"includeFeature",0,"MIR550B1","microRNA 550b-1"
"window_504923","chr7",30292500,30302500,10001,"*",69,27.3809523809524,"window_504923","100500883",30289794,30289890,97,"-",2609,"upstream",2609,"MIR550B1","microRNA 550b-1"
"window_504953","chr7",30367500,30377500,10001,"*",69,27.3809523809524,"window_504953","222161",30371508,30372741,1234,"+",0,"includeFeature",0,"DKFZP586I1420","uncharacterized protein DKFZp586I1420"
"window_506049","chr7",33107500,33117500,10001,"*",69,27.3809523809524,"window_506049","6100",33094797,33109404,14608,"-",0,"overlapStart",0,"RP9","RP9 pre-mRNA splicing factor"
"window_506049.1","chr7",33107500,33117500,10001,"*",69,27.3809523809524,"window_506049","27241",33109557,33877180,767624,"+",0,"overlapStart",0,"BBS9","Bardet-Biedl syndrome 9"
"window_514881","chr7",55187500,55197500,10001,"*",69,27.3809523809524,"window_514881","100507500",55179750,55188934,9185,"-",0,"overlapStart",0,"EGFR-AS1","EGFR antisense RNA 1"
"window_520644","chr7",69595000,69605000,10001,"*",69,27.3809523809524,"window_520644","100507468",69594793,69597493,2701,"-",0,"overlapStart",0,"CT66","cancer/testis associated transcript 66"
"window_520644.1","chr7",69595000,69605000,10001,"*",69,27.3809523809524,"window_520644","26053",69598296,70793506,1195211,"+",0,"overlapStart",0,"AUTS2","activator of transcription and developmental regulator AUTS2"
"window_520645","chr7",69597500,69607500,10001,"*",69,27.3809523809524,"window_520645","100507468",69594793,69597493,2701,"-",6,"upstream",6,"CT66","cancer/testis associated transcript 66"
"window_520645.1","chr7",69597500,69607500,10001,"*",69,27.3809523809524,"window_520645","26053",69598296,70793506,1195211,"+",0,"overlapStart",0,"AUTS2","activator of transcription and developmental regulator AUTS2"
"window_523122","chr7",75790000,75800000,10001,"*",69,27.3809523809524,"window_523122","10344",75769533,75789896,20364,"-",103,"upstream",103,"CCL26","C-C motif chemokine ligand 26"
"window_523123","chr7",75792500,75802500,10001,"*",69,27.3809523809524,"window_523123","10344",75769533,75789896,20364,"-",2603,"upstream",2603,"CCL26","C-C motif chemokine ligand 26"
"window_528963","chr7",90392500,90402500,10001,"*",69,27.3809523809524,"window_528963","102723899",90403519,90513402,109884,"+",1018,"upstream",1018,"LOC102723899","uncharacterized LOC102723899"
"window_529583","chr7",91942500,91952500,10001,"*",69,27.3809523809524,"window_529583","10142",91940867,92110673,169807,"+",0,"inside",1632,"AKAP9","A-kinase anchoring protein 9"
"window_530404","chr7",93995000,94005000,10001,"*",69,27.3809523809524,"window_530404","10282",93962762,94004382,41621,"-",0,"overlapStart",0,"BET1","Bet1 golgi vesicular membrane trafficking protein"
"window_533084","chr7",100695000,100705000,10001,"*",69,27.3809523809524,"window_533084","64599",100679507,100693968,14462,"-",1031,"upstream",1031,"GIGYF1","GRB10 interacting GYF protein 1"
"window_533084.1","chr7",100695000,100705000,10001,"*",69,27.3809523809524,"window_533084","10248",100706121,100707486,1366,"+",1120,"upstream",1120,"POP7","POP7 homolog, ribonuclease P/MRP subunit"
"window_533184","chr7",100945000,100955000,10001,"*",69,27.3809523809524,"window_533184","4584",100949534,100968347,18814,"+",0,"overlapStart",0,"MUC3A","mucin 3A, cell surface associated"
"window_534485","chr7",104197500,104207500,10001,"*",69,27.3809523809524,"window_534485","5001",104126341,104208047,81707,"-",0,"inside",546,"ORC5","origin recognition complex subunit 5"
"window_535011","chr7",105512500,105522500,10001,"*",69,27.3809523809524,"window_535011","54517",105439661,105522271,82611,"-",0,"overlapStart",0,"PUS7","pseudouridine synthase 7"
"window_535012","chr7",105515000,105525000,10001,"*",69,27.3809523809524,"window_535012","54517",105439661,105522271,82611,"-",0,"overlapStart",0,"PUS7","pseudouridine synthase 7"
"window_544088","chr7",128205000,128215000,10001,"*",69,27.3809523809524,"window_544088","406917",128207872,128207943,72,"+",0,"includeFeature",0,"MIR129-1","microRNA 129-1"
"window_547946","chr7",137850000,137860000,10001,"*",69,27.3809523809524,"window_547946","9162",137381037,137847092,466056,"-",2907,"upstream",2907,"DGKI","diacylglycerol kinase iota"
"window_548993","chr7",140467500,140477500,10001,"*",69,27.3809523809524,"window_548993","23608",140453033,140479536,26504,"-",0,"inside",2035,"MKRN1","makorin ring finger protein 1"
"window_550128","chr7",143305000,143315000,10001,"*",69,27.3809523809524,"window_550128","1180",143316111,143352083,35973,"+",1110,"upstream",1110,"CLCN1","chloride voltage-gated channel 1"
"window_552757","chr7",149877500,149887500,10001,"*",69,27.3809523809524,"window_552757","401431",149867697,149880610,12914,"-",0,"overlapStart",0,"ATP6V0E2-AS1","ATP6V0E2 antisense RNA 1"
"window_555737","chr7",157327500,157337500,10001,"*",69,27.3809523809524,"window_555737","10049",157335381,157417439,82059,"+",0,"overlapStart",0,"DNAJB6","DnaJ heat shock protein family (Hsp40) member B6"
"window_560548","chrX",10007500,10017500,10001,"*",69,27.3809523809524,"window_560548","55841",10015562,10144478,128917,"+",0,"overlapStart",0,"WWC3","WWC family member 3"
"window_560551","chrX",10015000,10025000,10001,"*",69,27.3809523809524,"window_560551","55841",10015562,10144478,128917,"+",0,"overlapStart",0,"WWC3","WWC family member 3"
"window_564599","chrX",20135000,20145000,10001,"*",69,27.3809523809524,"window_564599","100158262",20136066,20136385,320,"-",0,"includeFeature",0,"SCARNA9L","small Cajal body-specific RNA 9 like"
"window_564599.1","chrX",20135000,20145000,10001,"*",69,27.3809523809524,"window_564599","100874078",20139968,20140444,477,"+",0,"includeFeature",0,"EIF1AX-AS1","EIF1AX antisense RNA 1"
"window_564599.2","chrX",20135000,20145000,10001,"*",69,27.3809523809524,"window_564599","1964",20124525,20141838,17314,"-",0,"overlapStart",0,"EIF1AX","eukaryotic translation initiation factor 1A X-linked"
"window_572776","chrX",40577500,40587500,10001,"*",69,27.3809523809524,"window_572776","10159",40579372,40606848,27477,"+",0,"overlapStart",0,"ATP6AP2","ATPase H+ transporting accessory protein 2"
"window_572777","chrX",40580000,40590000,10001,"*",69,27.3809523809524,"window_572777","10159",40579372,40606848,27477,"+",0,"inside",627,"ATP6AP2","ATPase H+ transporting accessory protein 2"
"window_575308","chrX",46907500,46917500,10001,"*",69,27.3809523809524,"window_575308","9767",46912276,47061242,148967,"+",0,"overlapStart",0,"JADE3","jade family PHD finger 3"
"window_575309","chrX",46910000,46920000,10001,"*",69,27.3809523809524,"window_575309","9767",46912276,47061242,148967,"+",0,"overlapStart",0,"JADE3","jade family PHD finger 3"
"window_584711","chrX",70415000,70425000,10001,"*",69,27.3809523809524,"window_584711","54857",70423031,70433390,10360,"+",0,"overlapStart",0,"GDPD2","glycerophosphodiester phosphodiesterase domain containing 2"
"window_597828","chrX",103207500,103217500,10001,"*",69,27.3809523809524,"window_597828","56271",103215108,103217246,2139,"+",0,"includeFeature",0,"BEX4","brain expressed X-linked 4"
"window_597885","chrX",103350000,103360000,10001,"*",69,27.3809523809524,"window_597885","51186",103356489,103358462,1974,"+",0,"includeFeature",0,"TCEAL9","transcription elongation factor A like 9"
"window_597886","chrX",103352500,103362500,10001,"*",69,27.3809523809524,"window_597886","51186",103356489,103358462,1974,"+",0,"includeFeature",0,"TCEAL9","transcription elongation factor A like 9"
"window_598188","chrX",104107500,104117500,10001,"*",69,27.3809523809524,"window_598188","644353",104112511,104115846,3336,"+",0,"includeFeature",0,"ZCCHC18","zinc finger CCHC-type containing 18"
"window_598189","chrX",104110000,104120000,10001,"*",69,27.3809523809524,"window_598189","644353",104112511,104115846,3336,"+",0,"includeFeature",0,"ZCCHC18","zinc finger CCHC-type containing 18"
"window_599654","chrX",107772500,107782500,10001,"*",69,27.3809523809524,"window_599654","392517",107774899,107795829,20931,"+",0,"overlapStart",0,"NCBP2L","nuclear cap binding protein subunit 2 like"
"window_599654.1","chrX",107772500,107782500,10001,"*",69,27.3809523809524,"window_599654","1831",107713221,107777342,64122,"-",0,"overlapStart",0,"TSC22D3","TSC22 domain family member 3"
"window_604728","chrX",120457500,120467500,10001,"*",69,27.3809523809524,"window_604728","3920",120427827,120469365,41539,"-",0,"inside",1864,"LAMP2","lysosomal associated membrane protein 2"
"window_606086","chrX",123852500,123862500,10001,"*",69,27.3809523809524,"window_606086","331",123859724,123913979,54256,"+",0,"overlapStart",0,"XIAP","X-linked inhibitor of apoptosis"
"window_608533","chrX",129970000,129980000,10001,"*",69,27.3809523809524,"window_608533","63035",129981163,130058083,76921,"+",1162,"upstream",1162,"BCORL1","BCL6 corepressor like 1"
"window_610292","chrX",134367500,134377500,10001,"*",69,27.3809523809524,"window_610292","84295",134373253,134428791,55539,"+",0,"overlapStart",0,"PHF6","PHD finger protein 6"
"window_618341","chrX",154490000,154500000,10001,"*",69,27.3809523809524,"window_618341","8273",154487306,154490690,3385,"-",0,"overlapStart",0,"SLC10A3","solute carrier family 10 member 3"
"window_622314","chr8",8380000,8390000,10001,"*",69,27.3809523809524,"window_622314","157285",8317736,8386439,68704,"-",0,"overlapStart",0,"PRAG1","PEAK1 related, kinase-activating pseudokinase 1"
"window_623295","chr8",10832500,10842500,10001,"*",69,27.3809523809524,"window_623295","54984",10764961,10839884,74924,"-",0,"overlapStart",0,"PINX1","PIN2 (TERF1) interacting telomerase inhibitor 1"
"window_623295.1","chr8",10832500,10842500,10001,"*",69,27.3809523809524,"window_623295","101929229",10839964,10847594,7631,"+",0,"overlapStart",0,"LOC101929229","uncharacterized LOC101929229"
"window_626129","chr8",17917500,17927500,10001,"*",69,27.3809523809524,"window_626129","5108",17922840,18029944,107105,"+",0,"overlapStart",0,"PCM1","pericentriolar material 1"
"window_626132","chr8",17925000,17935000,10001,"*",69,27.3809523809524,"window_626132","5108",17922840,18029944,107105,"+",0,"inside",2159,"PCM1","pericentriolar material 1"
"window_628266","chr8",23260000,23270000,10001,"*",69,27.3809523809524,"window_628266","203069",23270120,23296279,26160,"+",119,"upstream",119,"R3HCC1","R3H domain and coiled-coil containing 1"
"window_628293","chr8",23327500,23337500,10001,"*",69,27.3809523809524,"window_628293","100507156",23336171,23366125,29955,"+",0,"overlapStart",0,"LOC100507156","uncharacterized LOC100507156"
"window_630008","chr8",27615000,27625000,10001,"*",69,27.3809523809524,"window_630008","1191",27596917,27614700,17784,"-",299,"upstream",299,"CLU","clusterin"
"window_630439","chr8",28692500,28702500,10001,"*",69,27.3809523809524,"window_630439","101929402",28690215,28702030,11816,"-",0,"overlapStart",0,"EXTL3-AS1","EXTL3 antisense RNA 1"
"window_634119","chr8",37892500,37902500,10001,"*",69,27.3809523809524,"window_634119","80223",37858618,37899497,40880,"-",0,"overlapStart",0,"RAB11FIP1","RAB11 family interacting protein 1"
"window_634121","chr8",37897500,37907500,10001,"*",69,27.3809523809524,"window_634121","80223",37858618,37899497,40880,"-",0,"overlapStart",0,"RAB11FIP1","RAB11 family interacting protein 1"
"window_634231","chr8",38172500,38182500,10001,"*",69,27.3809523809524,"window_634231","9530",38176533,38213301,36769,"+",0,"overlapStart",0,"BAG4","BAG cochaperone 4"
"window_634231.1","chr8",38172500,38182500,10001,"*",69,27.3809523809524,"window_634231","27257",38163335,38176730,13396,"-",0,"overlapStart",0,"LSM1","LSM1 homolog, mRNA degradation associated"
"window_635559","chr8",41492500,41502500,10001,"*",69,27.3809523809524,"window_635559","51125",41490396,41510980,20585,"+",0,"inside",2103,"GOLGA7","golgin A7"
"window_635571","chr8",41522500,41532500,10001,"*",69,27.3809523809524,"window_635571","84296",41529218,41545030,15813,"+",0,"overlapStart",0,"GINS4","GINS complex subunit 4"
"window_635840","chr8",42195000,42205000,10001,"*",69,27.3809523809524,"window_635840","5327",42174718,42207676,32959,"-",0,"inside",2675,"PLAT","plasminogen activator, tissue type"
"window_645647","chr8",66712500,66722500,10001,"*",69,27.3809523809524,"window_645647","23678",66712734,66862022,149289,"+",0,"overlapStart",0,"SGK3","serum/glucocorticoid regulated kinase family member 3"
"window_648461","chr8",73747500,73757500,10001,"*",69,27.3809523809524,"window_648461","27067",73420369,73747708,327340,"-",0,"overlapStart",0,"STAU2","staufen double-stranded RNA binding protein 2"
"window_657869","chr8",97267500,97277500,10001,"*",69,27.3809523809524,"window_657869","85453",97273488,97277928,4441,"-",0,"overlapEnd",427,"TSPYL5","TSPY like 5"
"window_658539","chr8",98942500,98952500,10001,"*",69,27.3809523809524,"window_658539","6788",98401403,98942827,541425,"-",0,"overlapStart",0,"STK3","serine/threonine kinase 3"
"window_658539.1","chr8",98942500,98952500,10001,"*",69,27.3809523809524,"window_658539","116039",98944403,98952104,7702,"+",0,"includeFeature",0,"OSR2","odd-skipped related transciption factor 2"
"window_658915","chr8",99882500,99892500,10001,"*",69,27.3809523809524,"window_658915","1345",99873200,99893707,20508,"-",0,"inside",1206,"COX6C","cytochrome c oxidase subunit 6C"
"window_659181","chr8",100547500,100557500,10001,"*",69,27.3809523809524,"window_659181","157567",100509752,100559784,50033,"-",0,"inside",2283,"ANKRD46","ankyrin repeat domain 46"
"window_660797","chr8",104587500,104597500,10001,"*",69,27.3809523809524,"window_660797","29967",104489231,104589024,99794,"-",0,"overlapStart",0,"LRP12","LDL receptor related protein 12"
"window_662777","chr8",109537500,109547500,10001,"*",69,27.3809523809524,"window_662777","9166",109539711,109565996,26286,"+",0,"overlapStart",0,"EBAG9","estrogen receptor binding site associated antigen 9"
"window_666903","chr8",119852500,119862500,10001,"*",69,27.3809523809524,"window_666903","79075",119833976,119855894,21919,"-",0,"overlapStart",0,"DSCC1","DNA replication and sister chromatid cohesion 1"
"window_668267","chr8",123262500,123272500,10001,"*",69,27.3809523809524,"window_668267","100533106",123226189,123274284,48096,"-",0,"inside",1783,"ZHX1-C8orf76","ZHX1-C8orf76 readthrough"
"window_668470","chr8",123770000,123780000,10001,"*",69,27.3809523809524,"window_668470","157769",123768439,123815452,47014,"+",0,"inside",1560,"FAM91A1","family with sequence similarity 91 member A1"
"window_668707","chr8",124362500,124372500,10001,"*",69,27.3809523809524,"window_668707","157378",124306189,124372692,66504,"-",0,"inside",191,"TMEM65","transmembrane protein 65"
"window_672845","chr8",134707500,134717500,10001,"*",69,27.3809523809524,"window_672845","57623",134477788,134713049,235262,"-",0,"overlapStart",0,"ZFAT","zinc finger and AT-hook domain containing"
"window_673143","chr8",135452500,135462500,10001,"*",69,27.3809523809524,"window_673143","10656",135457456,135656722,199267,"+",0,"overlapStart",0,"KHDRBS3","KH RNA binding domain containing, signal transduction associated 3"
"window_673144","chr8",135455000,135465000,10001,"*",69,27.3809523809524,"window_673144","10656",135457456,135656722,199267,"+",0,"overlapStart",0,"KHDRBS3","KH RNA binding domain containing, signal transduction associated 3"
"window_676564","chr8",144005000,144015000,10001,"*",69,27.3809523809524,"window_676564","375686",144012280,144047114,34835,"+",0,"overlapStart",0,"SPATC1","spermatogenesis and centriole associated 1"
"window_676564.1","chr8",144005000,144015000,10001,"*",69,27.3809523809524,"window_676564","84875",143977153,144012772,35620,"-",0,"overlapStart",0,"PARP10","poly(ADP-ribose) polymerase family member 10"
"window_676938","chr8",144940000,144950000,10001,"*",69,27.3809523809524,"window_676938","7564",144930358,144950888,20531,"-",0,"inside",887,"ZNF16","zinc finger protein 16"
"window_679269","chr9",5627500,5637500,10001,"*",69,27.3809523809524,"window_679269","57589",5629025,5776557,147533,"+",0,"overlapStart",0,"RIC1","RIC1 homolog, RAB6A GEF complex partner 1"
"window_682328","chr9",13275000,13285000,10001,"*",69,27.3809523809524,"window_682328","8777",13105704,13279590,173887,"-",0,"overlapStart",0,"MPDZ","multiple PDZ domain crumbs cell polarity complex component"
"window_682329","chr9",13277500,13287500,10001,"*",69,27.3809523809524,"window_682329","8777",13105704,13279590,173887,"-",0,"overlapStart",0,"MPDZ","multiple PDZ domain crumbs cell polarity complex component"
"window_690408","chr9",33475000,33485000,10001,"*",69,27.3809523809524,"window_690408","65083",33461353,33473930,12578,"-",1069,"upstream",1069,"NOL6","nucleolar protein 6"
"window_690768","chr9",34375000,34385000,10001,"*",69,27.3809523809524,"window_690768","57462",34366666,34376898,10233,"-",0,"overlapStart",0,"MYORG","myogenesis regulating glycosidase (putative)"
"window_690802","chr9",34460000,34470000,10001,"*",69,27.3809523809524,"window_690802","27019",34457414,34520988,63575,"+",0,"inside",2585,"DNAI1","dynein axonemal intermediate chain 1"
"window_690802.1","chr9",34460000,34470000,10001,"*",69,27.3809523809524,"window_690802","203259",34398184,34458570,60387,"-",1429,"upstream",1429,"FAM219A","family with sequence similarity 219 member A"
"window_691331","chr9",35782500,35792500,10001,"*",69,27.3809523809524,"window_691331","4882",35792154,35809732,17579,"+",0,"overlapStart",0,"NPR2","natriuretic peptide receptor 2"
"window_692011","chr9",37482500,37492500,10001,"*",69,27.3809523809524,"window_692011","64425",37485948,37503697,17750,"+",0,"overlapStart",0,"POLR1E","RNA polymerase I subunit E"
"window_692012","chr9",37485000,37495000,10001,"*",69,27.3809523809524,"window_692012","64425",37485948,37503697,17750,"+",0,"overlapStart",0,"POLR1E","RNA polymerase I subunit E"
"window_714272","chr9",93135000,93145000,10001,"*",69,27.3809523809524,"window_714272","4814",93121496,93134251,12756,"-",748,"upstream",748,"NINJ1","ninjurin 1"
"window_714289","chr9",93177500,93187500,10001,"*",69,27.3809523809524,"window_714289","65268",93184916,93320572,135657,"+",0,"overlapStart",0,"WNK2","WNK lysine deficient protein kinase 2"
"window_714290","chr9",93180000,93190000,10001,"*",69,27.3809523809524,"window_714290","65268",93184916,93320572,135657,"+",0,"overlapStart",0,"WNK2","WNK lysine deficient protein kinase 2"
"window_715039","chr9",95052500,95062500,10001,"*",69,27.3809523809524,"window_715039","102466518",95065350,95065446,97,"+",2849,"upstream",2849,"MIR6081","microRNA 6081"
"window_715040","chr9",95055000,95065000,10001,"*",69,27.3809523809524,"window_715040","102466518",95065350,95065446,97,"+",349,"upstream",349,"MIR6081","microRNA 6081"
"window_715041","chr9",95057500,95067500,10001,"*",69,27.3809523809524,"window_715041","102466518",95065350,95065446,97,"+",0,"includeFeature",0,"MIR6081","microRNA 6081"
"window_715570","chr9",96380000,96390000,10001,"*",69,27.3809523809524,"window_715570","11046",96235352,96383711,148360,"-",0,"overlapStart",0,"SLC35D2","solute carrier family 35 member D2"
"window_715678","chr9",96650000,96660000,10001,"*",69,27.3809523809524,"window_715678","195827",96639577,96655317,15741,"-",0,"overlapStart",0,"PRXL2C","peroxiredoxin like 2C"
"window_715725","chr9",96767500,96777500,10001,"*",69,27.3809523809524,"window_715725","22869",96755865,96778129,22265,"-",0,"inside",628,"ZNF510","zinc finger protein 510"
"window_715726","chr9",96770000,96780000,10001,"*",69,27.3809523809524,"window_715726","22869",96755865,96778129,22265,"-",0,"overlapStart",0,"ZNF510","zinc finger protein 510"
"window_715729","chr9",96777500,96787500,10001,"*",69,27.3809523809524,"window_715729","22869",96755865,96778129,22265,"-",0,"overlapStart",0,"ZNF510","zinc finger protein 510"
"window_716536","chr9",98795000,98805000,10001,"*",69,27.3809523809524,"window_716536","203286",98731329,98796965,65637,"-",0,"overlapStart",0,"ANKS6","ankyrin repeat and sterile alpha motif domain containing 6"
"window_716536.1","chr9",98795000,98805000,10001,"*",69,27.3809523809524,"window_716536","79695",98807670,98850081,42412,"+",2669,"upstream",2669,"GALNT12","polypeptide N-acetylgalactosaminyltransferase 12"
"window_721789","chr9",111927500,111937500,10001,"*",69,27.3809523809524,"window_721789","100616114",111932100,111932169,70,"+",0,"includeFeature",0,"MIR4668","microRNA 4668"
"window_725245","chr9",120567500,120577500,10001,"*",69,27.3809523809524,"window_725245","55755",120388869,120580170,191302,"-",0,"inside",2669,"CDK5RAP2","CDK5 regulatory subunit associated protein 2"
"window_725498","chr9",121200000,121210000,10001,"*",69,27.3809523809524,"window_725498","2934",121207794,121332843,125050,"+",0,"overlapStart",0,"GSN","gelsolin"
"window_726149","chr9",122827500,122837500,10001,"*",69,27.3809523809524,"window_726149","5082",122798389,122828588,30200,"-",0,"overlapStart",0,"PDCL","phosducin like"
"window_726195","chr9",122942500,122952500,10001,"*",69,27.3809523809524,"window_726195","23637",122940833,123104866,164034,"+",0,"inside",1666,"RABGAP1","RAB GTPase activating protein 1"
"window_728906","chr9",129720000,129730000,10001,"*",69,27.3809523809524,"window_728906","101929437",129712896,129718635,5740,"-",1364,"upstream",1364,"PRRX2-AS1","PRRX2 antisense RNA 1"
"window_730049","chr9",132577500,132587500,10001,"*",69,27.3809523809524,"window_730049","56751",132582606,132590252,7647,"+",0,"overlapStart",0,"BARHL1","BarH like homeobox 1"
"window_730281","chr9",133157500,133167500,10001,"*",69,27.3809523809524,"window_730281","5900",133097720,133163914,66195,"-",0,"overlapStart",0,"RALGDS","ral guanine nucleotide dissociation stimulator"
"window_730281.1","chr9",133157500,133167500,10001,"*",69,27.3809523809524,"window_730281","26301",133152948,133163933,10986,"-",0,"overlapStart",0,"GBGT1","globoside alpha-1,3-N-acetylgalactosaminyltransferase 1 (FORS blood group)"
"window_732498","chr11",305000,315000,10001,"*",69,27.3809523809524,"window_732498","10581",307631,309395,1765,"+",0,"includeFeature",0,"IFITM2","interferon induced transmembrane protein 2"
"window_732498.1","chr11",305000,315000,10001,"*",69,27.3809523809524,"window_732498","8519",308408,315272,6865,"+",0,"overlapStart",0,"IFITM1","interferon induced transmembrane protein 1"
"window_732524","chr11",370000,380000,10001,"*",69,27.3809523809524,"window_732524","338707",369499,382117,12619,"+",0,"inside",500,"B4GALNT4","beta-1,4-N-acetyl-galactosaminyltransferase 4"
"window_732543","chr11",417500,427500,10001,"*",69,27.3809523809524,"window_732543","59307",405716,417455,11740,"-",44,"upstream",44,"SIGIRR","single Ig and TIR domain containing"
"window_732549","chr11",432500,442500,10001,"*",69,27.3809523809524,"window_732549","338440",417933,442011,24079,"-",0,"overlapStart",0,"ANO9","anoctamin 9"
"window_733130","chr11",1885000,1895000,10001,"*",69,27.3809523809524,"window_733130","101927624",1897015,1908656,11642,"+",2014,"upstream",2014,"LINC01150","long intergenic non-protein coding RNA 1150"
"window_733344","chr11",2420000,2430000,10001,"*",69,27.3809523809524,"window_733344","29850",2404515,2423045,18531,"-",0,"overlapStart",0,"TRPM5","transient receptor potential cation channel subfamily M member 5"
"window_735034","chr11",6645000,6655000,10001,"*",69,27.3809523809524,"window_735034","8642",6621330,6655809,34480,"-",0,"inside",808,"DCHS1","dachsous cadherin-related 1"
